nofinesset;nofinessej;rs;rslongue;complrs;numvoie;compvoie;typvoie;voie;lieuditbp;departement;libdepartement;cp;commune;telephone;telecopie;dateouv;dateautor;datemaj;wgs84;lat;lng
750011256;750011181;SELARL PHARMACIE DES ARENES DE LUTECE;;PHARMACIE DES ARENES DE LUTECE;1;;RUE;LINNE;;75;PARIS;75005;PARIS;147071286;147071337;2010-08-16;1942-11-11;2011-07-21;48.8437365, 2.3547407;48.8437365;2.3547407
750011025;750010993;SELARL PHARMACIE SAINT HILAIRE;;PHARMACIE SAINT HILAIRE;18;;RUE;GEOFFROY ST HILAIRE;;75;PARIS;75005;PARIS;147070868;143315782;2011-02-01;1943-09-11;2011-07-22;48.8398841, 2.3565412;48.8398841;2.3565412
750012486;750012460;PHARM CANILLAC;;;122;;RUE;DU CHERCHE MIDI;;75;PARIS;75006;PARIS;147348888;;1998-06-29;1943-09-03;2010-08-25;48.8459997, 2.3198044;48.8459997;2.3198044
750012403;750012361;PHARM AUTISSIER;;;56;;RUE;DU CHERCHE MIDI;;75;PARIS;75006;PARIS;142222639;;1988-05-31;1943-05-05;2009-02-27;48.8489662, 2.3252485;48.8489662;2.3252485
750012783;750012775;PHARMACIE FLORENCE BOUBERT;;;48;;RUE;JACOB;;75;PARIS;75006;PARIS;142602737;142600027;2004-02-02;1943-05-05;2010-08-25;48.8559452, 2.3328547;48.8559452;2.3328547
750013062;750013054;PHARMACIE SAINT ANDRE DES ARTS;;;44;;RUE;SAINT ANDRE DES ARTS;;75;PARIS;75006;PARIS;143264824;143540218;2010-01-04;1943-05-21;2009-12-23;48.8535776, 2.3389152;48.8535776;2.3389152
750013641;750013633;SELARL PHARMACIE BOSQUET GRENELLE;;PHARMACIE BOSQUET GRENELLE;49;;AVENUE;BOSQUET;;75;PARIS;75007;PARIS;145513591;145513591;2010-07-01;1943-05-24;2011-07-25;48.8571082, 2.3045687;48.8571082;2.3045687
750013765;750013757;PHARMACIE FAUGERAS;;;35;;RUE;CLER;;75;PARIS;75007;PARIS;145513611;145503895;2007-07-31;1943-04-28;2009-07-03;48.8570996, 2.3063387;48.8570996;2.3063387
750014110;750014102;SARL PHARMACIE DE LA COMETE;;PHARMACIE DE LA COMETE;75;;RUE;ST DOMINIQUE;;75;PARIS;75007;PARIS;145516367;145551687;2012-11-15;1943-05-24;2013-01-17;48.8597979, 2.3090162;48.8597979;2.3090162
750013724;750013716;MLLE CAROLINE MESNARD;;;42;;AVENUE;DE BRETEUIL;;75;PARIS;75007;PARIS;147835982;147839544;2012-05-29;1943-05-10;2012-06-12;48.8505375, 2.3115308;48.8505375;2.3115308
750013997;750013971;PHARM DES INVALIDES;;;25;;BOULEVARD;DE LATOUR MAUBOURG;;75;PARIS;75007;PARIS;147054377;145561939;2000-04-20;1942-10-30;2009-07-03;48.854843, 2.311547;48.854843;2.311547
750014094;750014086;GRANDE PHARMACIE RASPAIL;;;9;;BOULEVARD;RASPAIL;;75;PARIS;75007;PARIS;145485289;145485624;2001-09-28;1943-05-15;2009-07-03;48.8563382, 2.325354;48.8563382;2.325354
750013443;750013435;SELARL PHARMACIE DE BABYLONE;;PHARMACIE AMAR RIAHI;6;;RUE;DE BABYLONE;;75;PARIS;75007;PARIS;145485424;145483787;2012-09-03;1942-12-30;2012-09-12;48.8517847, 2.3257915;48.8517847;2.3257915
